API_WellNo,FileNumber,Operator,WellName,County,Pool_Nm,PoolCompDate,Date_Treat,Top_,Bot,Frac_Acid,Units,Vol,Lbs_Prop,Acid_Con,MTPress,MTRate_N,Stages,Wh_Lat,Wh_Long
33105027960000,23728,"CONTINENTAL RESOURCES, INC.",CAROLINE  1-2H,WILLIAMS,BAKKEN,5/13/2013,5/5/2013,10930,15136,SAND,Bbl,20963,1210780,NULL,6350,30.8,14,48.11055228,-103.7685929
33089007370000,23727,KAISER-FRANCIS OIL COMPANY,PEACEFUL VALLEY  13-24H,STARK,BAKKEN,3/12/2013,3/8/2013,10665,19832,SAND,Bbl,53570,2992060,NULL,8599,45,36,46.94765741,-102.8653703
33025018570000,23726,"HESS BAKKEN INVESTMENTS II, LLC",LK-TROTTER-146-97-  3625H-5,DUNN,BAKKEN,8/12/2013,7/10/2013,11659,21190,SAND,Bbl,39618,1930574,NULL,8476,30.6,30,47.41640738,-102.9860593
33025018560000,23725,"HESS BAKKEN INVESTMENTS II, LLC",LK-TROTTER-146-97-  3625H-4,DUNN,BAKKEN,7/27/2013,7/13/2013,11652,20684,SAND,Bbl,40792,1938018,NULL,9000,30.4,30,47.41640815,-102.9858571
33105027950000,23724,"KRAKEN OPERATING, LLC",SOUTHARD  1-4H,WILLIAMS,BAKKEN,3/8/2013,2/9/2013,10314,19780,SAND,Bbl,47680,2618748,NULL,6818,31.3,30,48.54585408,-103.2198924
33105027940000,23723,"BRUIN E&P OPERATING, LLC",H STATE 1-36-25H,WILLIAMS,BAKKEN,12/22/2012,12/22/2012,10393,20080,SAND,Bbl,37045,3012380,NULL,7724,33.3,30,48.45915765,-103.8117955
33105027930000,23722,"BRUIN E&P OPERATING, LLC",HOUGHT  2-1-12H,WILLIAMS,BAKKEN,12/21/2012,12/21/2012,10436,19667,SAND,Bbl,37507,2993895,NULL,8937,31.1,30,48.45915694,-103.8116636
33053043680000,23721,BURLINGTON RESOURCES OIL & GAS COMPANY LP,INGA  14-12H,MCKENZIE,BAKKEN,2/17/2013,2/14/2013,17720,21246,SAND,Bbl,21933,1149000,NULL,7779,39,12,47.6456744,-103.1131628
33053043680000,23721,BURLINGTON RESOURCES OIL & GAS COMPANY LP,INGA  14-12H,MCKENZIE,BAKKEN,2/17/2013,2/15/2013,15792,17400,SAND,Bbl,10351,641460,NULL,7261,40,6,47.6456744,-103.1131628
33053043680000,23721,BURLINGTON RESOURCES OIL & GAS COMPANY LP,INGA  14-12H,MCKENZIE,BAKKEN,2/17/2013,2/16/2013,11718,15476,SAND,Bbl,20709,2157680,NULL,6560,40,12,47.6456744,-103.1131628
33023008970000,23720,RESOURCE ENERGY CAN-AM LLC,MONTCLAIR   0112-2TFH,DIVIDE,BAKKEN,5/7/2013,1/16/2013,8114,17710,SAND,Bbl,26126,1329512,NULL,7942,25.8,35,48.98056286,-103.4825614
33023008960000,23719,RESOURCE ENERGY CAN-AM LLC,TITAN  3625-2TFH,DIVIDE,BAKKEN,2/27/2013,1/22/2013,8182,14124,SAND,Bbl,20417,1016661,NULL,6491,30.5,26,48.98056262,-103.4826655
33023008950000,23718,RESOURCE ENERGY CAN-AM LLC,WILLIAM BAILARD  0112-1TFH,DIVIDE,BAKKEN,2/24/2013,1/18/2013,8065,17581,SAND,Bbl,29714,1581597,NULL,6797,23.1,40,48.98056238,-103.4827696
33023008940000,23717,RESOURCE ENERGY CAN-AM LLC,KAREN BAILARD  3625-1TFH,DIVIDE,BAKKEN,2/27/2013,1/15/2013,8109,14031,SAND,Bbl,18827,991622,NULL,5652,21.3,26,48.98056214,-103.4828738
33023008930000,23715,XTO ENERGY INC,ND STATE  43X-16B,DIVIDE,BAKKEN,2/7/2013,1/25/2013,9529,18648,SAND,Bbl,58728,2701879,NULL,9146,54,30,48.68104548,-102.9526544
33105027920000,23714,"CONTINENTAL RESOURCES, INC.",MEMPHIS   2-4H,WILLIAMS,BAKKEN,1/25/2013,1/11/2013,11630,26908,SAND,Bbl,80454,3767500,NULL,8251,31,45,48.10566301,-103.5375352
33061022400000,23713,"KRAKEN DEVELOPMENT III, LLC",DIAMOND J  41-20H,MOUNTRAIL,BAKKEN,2/6/2013,2/5/2013,10663,14247,SAND,Bbl,18771,1534040,NULL,8724,38,18,48.15230919,-102.5315714
33089007360000,23712,KAISER-FRANCIS OIL COMPANY,BMP  19-20H,STARK,BAKKEN,3/13/2013,3/12/2013,10766,19716,SAND,Bbl,34941,2497800,NULL,8363,45,30,46.92132903,-102.9764641
33089007350000,23710,WHITING OIL AND GAS CORPORATION,RICHARD  31-15PH,STARK,BAKKEN,1/14/2013,1/10/2013,10678,20840,SAND,Bbl,43790,2933610,NULL,8547,41,30,46.86057099,-103.1604443
33105027910000,23709,WHITING OIL AND GAS CORPORATION,P THOMAS  153-98-5-10-11-1H,WILLIAMS,BAKKEN,6/8/2013,5/26/2013,17876,20818,SAND,Bbl,32869,1460775,NULL,8578,31.4,10,48.09096928,-103.2803075
33105027910000,23709,WHITING OIL AND GAS CORPORATION,P THOMAS  153-98-5-10-11-1H,WILLIAMS,BAKKEN,6/8/2013,6/1/2013,11509,17798,SAND,Bbl,49654,2550105,NULL,8332,36.8,18,48.09096928,-103.2803075
33105027900000,23708,WHITING OIL AND GAS CORPORATION,P THOMAS 153-98-5-10-11-8H,WILLIAMS,BAKKEN,6/8/2013,5/26/2013,17676,20643,SAND,Bbl,34904,1409727,NULL,8330,30.2,10,48.09080482,-103.2803052
33023008920000,23707,"PRIMA EXPLORATION, INC.",AMUNDSON  160-100-22-15-13B-1H,DIVIDE,BAKKEN,11/12/2014,9/11/2014,9470,18772,SAND,Bbl,132944,3677497,NULL,8696,54.6,34,48.66351634,-103.5987983
33105027890000,23706,"BRUIN E&P OPERATING, LLC",MILLER  1-35-26H,WILLIAMS,BAKKEN,2/11/2013,2/1/2013,20245,10530,SAND,Bbl,51223,3018062,NULL,7261,43,30,48.45901813,-103.8350137
33105027880000,23705,"KRAKEN OPERATING, LLC",POCASSET  1-29H,WILLIAMS,BAKKEN,1/13/2013,11/9/2018,10829,20391,SAND,Bbl,101438,2067840,NULL,7055,65.3,29,48.40107182,-103.3726334
33105027880000,23705,"KRAKEN OPERATING, LLC",POCASSET  1-29H,WILLIAMS,BAKKEN,1/13/2013,11/28/2012,10829,20391,SAND,Bbl,50410,2654328,NULL,8210,31.1,30,48.40107182,-103.3726334
33053043670000,23703,OASIS PETROLEUM NORTH AMERICA LLC,CAROL J A  5200 14-29T,MCKENZIE,BAKKEN,3/29/2013,3/16/2013,11175,20730,SAND,Bbl,79387,3751050,NULL,11485,47.2,36,47.96317831,-103.5007829
33053043660000,23702,OASIS PETROLEUM NORTH AMERICA LLC,TAYLOR N  5200 14-29B,MCKENZIE,BAKKEN,3/29/2013,3/17/2013,11185,20690,SAND,Bbl,64038,3491133,NULL,9106,61.5,34,47.9630171,-103.5004554
33089007340000,23700,KAISER-FRANCIS OIL COMPANY,ALBERT   14-23H,STARK,BAKKEN,2/25/2013,2/12/2013,10674,20145,SAND,Bbl,37822,2463600,NULL,9299,47,30,46.94763536,-102.8864048
33025018550000,23699,MARATHON OIL COMPANY,C.O.  34-20H,DUNN,BAKKEN,11/28/2012,11/26/2012,11478,20624,SAND,Bbl,17323,2261580,NULL,8268,34.8,30,47.44561266,-102.6821612
33061022390000,23698,MUREX PETROLEUM CORPORATION,MACKENZIE JOY   3-10H,MOUNTRAIL,BAKKEN,1/12/2013,1/4/2013,10011,19543,SAND,Bbl,51193,2819600,NULL,7811,28.9,37,48.19592233,-102.3652339
33013016870000,23697,"PETRO-HUNT, L.L.C.",MARUSKIE  159-94-3B-10-1H,BURKE,BAKKEN,11/13/2014,10/19/2014,9863,19087,SAND,Bbl,108125,7844628,NULL,9708,41,39,48.63256823,-102.8143531
33053043640000,23696,WHITING OIL AND GAS CORPORATION,EVY JUNE  18-19H,MCKENZIE,BAKKEN,12/20/2012,12/17/2012,10581,20403,SAND,Bbl,34379,2132980,NULL,8597,43.1,30,47.81922006,-104.0409537
33089007330000,23695,KAISER-FRANCIS OIL COMPANY,HERAUF  2-11H,STARK,BAKKEN,9/14/2014,9/12/2014,10720,19758,SAND,Gal,2913624,3419320,NULL,8726,31,89,46.88952996,-103.0153156
33025018540000,23694,XTO ENERGY INC,FBIR BEAKS  24X-8A,DUNN,BAKKEN,12/17/2013,11/17/2013,10568,20090,SAND,Bbl,63389,3291120,NULL,8754,38,30,47.7324841,-102.3569624
33025018530000,23693,XTO ENERGY INC,FBIR HUNTSMEDICINE  24X-8E,DUNN,BAKKEN,12/8/2013,11/19/2013,10808,20790,SAND,Bbl,54117,3480840,NULL,8529,36,30,47.73248467,-102.3567183
33061022380000,23689,WHITING OIL AND GAS CORPORATION,ELLA FLADELAND  12-12TFH,MOUNTRAIL,BAKKEN,12/16/2012,12/15/2012,10681,18568,SAND,Bbl,24885,1677420,NULL,9593,43.8,26,48.08959431,-102.4602109
33061022370000,23688,WHITING OIL AND GAS CORPORATION,LIONELD FLADELAND  12-12H,MOUNTRAIL,BAKKEN,12/13/2012,12/7/2012,10597,18137,SAND,Bbl,23736,1776520,NULL,6959,45.9,22,48.0893476,-102.4602092
33105027870000,23686,"KRAKEN OPERATING, LLC",LINDSAY   1-35H,WILLIAMS,BAKKEN,3/7/2013,2/4/2013,10523,19920,SAND,Bbl,48618,2647355,NULL,7353,31.3,30,48.46026044,-103.1769692
33025018480000,23685,"BRUIN E&P OPERATING, LLC",MEDUNA TRUST  1-7-6H-142-94,DUNN,BAKKEN,3/4/2013,3/1/2013,10638,19463,SAND,Bbl,41620,1322597,NULL,8017,49.8,21,47.12721212,-102.643121
33025018470000,23684,"WPX ENERGY WILLISTON, LLC",MARTIN FOX  20-17HA,DUNN,BAKKEN,9/28/2014,9/14/2014,11500,19529,SAND,Gal,3746439,4895434,NULL,8922,45.1,29,47.70455785,-102.6122326
33025018450000,23682,"WPX ENERGY WILLISTON, LLC",MARTIN FOX  20-17HB,DUNN,BAKKEN,9/28/2014,9/14/2014,11290,20869,SAND,Gal,4445499,5917798,NULL,9064,44.6,35,47.70445864,-102.6118546
33025018440000,23681,"WPX ENERGY WILLISTON, LLC",MARTIN FOX  20-17HX,DUNN,BAKKEN,9/28/2014,9/14/2014,11457,20935,SAND,Gal,4545446,5402350,NULL,9109,40.5,35,47.70450824,-102.6120415
33025018430000,23680,"WPX ENERGY WILLISTON, LLC",MARTIN FOX 20-17HC,DUNN,BAKKEN,2/19/2014,2/9/2014,11343,21206,SAND,Gal,2955358,3253560,NULL,9343,36.2,25,47.70435942,-102.6114725
33025018420000,23679,"WPX ENERGY WILLISTON, LLC",MARTIN FOX  20-17HZ,DUNN,BAKKEN,2/19/2014,2/8/2014,11532,21333,SAND,Gal,3101579,3261002,NULL,8898,36.9,25,47.70430981,-102.6112856
33025018410000,23678,"WPX ENERGY WILLISTON, LLC",MARTIN FOX 20-17HD,DUNN,BAKKEN,2/19/2014,2/9/2014,11688,21493,SAND,Gal,3106564,3329601,NULL,8119,37.9,26,47.7042602,-102.6110945
33105027860000,23677,CRESCENT POINT ENERGY U.S. CORP.,SC-TAMI  157-99-0805H-1,WILLIAMS,BAKKEN,12/25/2012,12/15/2012,10632,20006,SAND,Bbl,35417,1882341,NULL,7834,31,30,48.43158374,-103.5071228
33025018400000,23676,"BRUIN E&P OPERATING, LLC",CHARLES DAVIS 1-4-9H-142-94,DUNN,BAKKEN,2/1/2013,1/27/2013,10753,19162,SAND,Bbl,53377,1290363,NULL,7744,51.7,21,47.15393382,-102.5952576
33061022360000,23675,EQUINOR ENERGY LP,ESTHER HYNEK  10-11 6TFH,MOUNTRAIL,BAKKEN,6/28/2013,6/2/2013,10855,20339,SAND,Bbl,81151,3760753,NULL,8931,50.3,30,48.26645576,-102.6324935
33061022350000,23674,EQUINOR ENERGY LP,ESTHER HYNEK  10-11 7H,MOUNTRAIL,BAKKEN,6/22/2013,6/2/2013,10745,20110,SAND,Bbl,72543,3715675,NULL,8100,39.9,31,48.26637352,-102.6324934
33053043630000,23673,WHITING OIL AND GAS CORPORATION,KOALA  2-2-11-14H3,MCKENZIE,BAKKEN,11/22/2013,11/12/2013,14095,21008,SAND,Bbl,83264,2752628,NULL,8546,30.7,28,47.93433626,-103.442799
