22050,1870030,6256,32.1,26,4717
62397,3512422,9190,38.2,26,9247
83808,4222150,9550,41.1,26,10387
78412,4396529,8245,31.5,38,9500
44956,2876938,8085,37.6,13,9306
55062,3175644,5590,42,26,9720
60099,2560030,7750,33.2,30,9639
66305,2799300,8952,38.6,22,8747
23355,1800160,6687,42.6,26,8426
67220,2709053,9151,36,26,9082
49154,3219998,6930,41,26,9595
58138,1232940,6914,52.6,26,9000
26384,2941200,8864,30,10,2027
26384,2941200,8864,30,10,2027
37289,2941200,8298,32,26,9789
37289,2941200,8298,32,26,9789
79377,4339394,8994,38,26,9991
73110,4082120,9874,40.2,36,9475
49635,2328327,7903,41.4,24,9161
54229,3225067,7787,32.8,25,8676
54200,3760000,8000,30,32,9221
36928,1364260,9161,43.1,26,5802
44254,2247873,8418,31.3,26,8882
11186,6848,8666,35.3,26,9434
61305,3995800,8425,39.5,26,10125
41219,2012083,7680,31.1,21,8810
67307,3474024,9490,44.5,26,9640
70655,3950849,6728,32.3,28,9454
58541,3418791,7706,43,26,8977
57086,4178528,8818,24.3,26,9404
49404,3440391,3444,26,26,8080
28068,2324101,6040,23.9,26,5519
69739,3806141,9055,29,26,9510
30729,2023220,6790,24.7,26,9804
29442,1994976,6337,26.6,26,9450
124424,3176960,8399,32,26,9411
123299,2950243,8280,32,26,9999
20406,1700620,8327,43.7,22,9885
48392,2259173,7890,41.5,24,7526
44072,2668867,9153,32.1,21,8877
50237,2589423,8250,42.5,26,9634
78740,3796700,9500,39.4,32,9328
40875,387889,7881,31.6,26,8530
41467,1007803,5208,35.4,22,9427
60784,3855207,8150,39.5,26,9626
9118,252208,8726,35,3,9838
57323,3383123,8562,40.5,26,9526
54684,1800960,8834,33.6,26,9350
48161,321674,8266,31.3,26,9076
40421,1097939,8843,39.4,22,9459
68052,3046865,8811,60,24,9578
58832,2655720,8140,42.3,26,10613
74164,4038400,9375,62.8,26,9980
25531,2565070,8796,24.7,26,5438
40010,2913750,6679,59.2,24,9550
23493,1732900,6605,43.1,26,7766
34643,2098359,8454,31.6,26,9483
20592,1038900,7066,44.1,22,10228
80510,3826140,9321,42.2,26,9456
66928,1044129,7694,36.1,38,9121
53545,2810321,8467,30.4,30,9072
38644,2413714,7632,31.6,26,9646
70195,2952202,8671,37,25,8856
42468,2376140,6123,32.5,26,7523
31000,1540800,7100,38,12,4101
27299,1671600,6659,57.2,26,9714
52398,3854440,3255,22.4,26,9130
76140,3619160,9510,47.3,26,9386
48540,3017020,6990,32.2,26,9552
48270,2772615,7410,31,24,10062
48913,2970426,6540,31.8,26,9547
49692,3028750,7020,31.2,26,10263
76096,3442160,9427,42.1,33,9188
32718,2399500,6785,44,26,9616
52307,554260,8342,29,31,10219
18822,1967507,5609,24.1,26,4449
29035,1978180,6569,30.5,26,9886
58870,4005450,8043,40.1,26,9415
54963,2552672,8480,38,26,9504
14016,1461414,6378,32,22,3481
83024,4106600,9415,70.3,26,10053
